dataset:Kindle
Epoch 20 	 TEST SET: 0.0000 MAP: 0.1482, NDCG: 0.0449, PREC: 0.0198
dataset:Amazon_App
Epoch 0 	 TEST SET: 0.0000 MAP: 0.1852, NDCG: 0.0623, PREC: 0.0326
Epoch 1 	 TEST SET: 0.0000 MAP: 0.1905, NDCG: 0.0643, PREC: 0.0338
Epoch 2 	 TEST SET: 0.0000 MAP: 0.1919, NDCG: 0.0649, PREC: 0.0343
Epoch 3 	 TEST SET: 0.0000 MAP: 0.1932, NDCG: 0.0655, PREC: 0.0346
Epoch 4 	 TEST SET: 0.0000 MAP: 0.1935, NDCG: 0.0655, PREC: 0.0346
Epoch 5 	 TEST SET: 0.0000 MAP: 0.1929, NDCG: 0.0654, PREC: 0.0346
Epoch 6 	 TEST SET: 0.0000 MAP: 0.1923, NDCG: 0.0652, PREC: 0.0345
Epoch 7 	 TEST SET: 0.0000 MAP: 0.1914, NDCG: 0.0649, PREC: 0.0343
Epoch 8 	 TEST SET: 0.0000 MAP: 0.1915, NDCG: 0.0647, PREC: 0.0340
Epoch 9 	 TEST SET: 0.0000 MAP: 0.1918, NDCG: 0.0648, PREC: 0.0340
Epoch 10 	 TEST SET: 0.0000 MAP: 0.1924, NDCG: 0.0646, PREC: 0.0336
Epoch 11 	 TEST SET: 0.0000 MAP: 0.1914, NDCG: 0.0640, PREC: 0.0331
Epoch 12 	 TEST SET: 0.0000 MAP: 0.1887, NDCG: 0.0630, PREC: 0.0325
Epoch 13 	 TEST SET: 0.0000 MAP: 0.1869, NDCG: 0.0623, PREC: 0.0320
Epoch 14 	 TEST SET: 0.0000 MAP: 0.1856, NDCG: 0.0618, PREC: 0.0318
Epoch 15 	 TEST SET: 0.0000 MAP: 0.1852, NDCG: 0.0614, PREC: 0.0314
dataset:Amazon_App
Epoch 0 	 TEST SET: 0.0000 MAP: 0.1830, NDCG: 0.0612, PREC: 0.0317
Epoch 1 	 TEST SET: 0.0000 MAP: 0.1861, NDCG: 0.0628, PREC: 0.0329
Epoch 2 	 TEST SET: 0.0000 MAP: 0.1900, NDCG: 0.0640, PREC: 0.0335
Epoch 3 	 TEST SET: 0.0000 MAP: 0.1917, NDCG: 0.0648, PREC: 0.0342
Epoch 4 	 TEST SET: 0.0000 MAP: 0.1917, NDCG: 0.0651, PREC: 0.0345
Epoch 5 	 TEST SET: 0.0000 MAP: 0.1918, NDCG: 0.0650, PREC: 0.0343
Epoch 6 	 TEST SET: 0.0000 MAP: 0.1911, NDCG: 0.0647, PREC: 0.0341
Epoch 7 	 TEST SET: 0.0000 MAP: 0.1912, NDCG: 0.0647, PREC: 0.0341
Epoch 8 	 TEST SET: 0.0000 MAP: 0.1909, NDCG: 0.0645, PREC: 0.0340
Epoch 9 	 TEST SET: 0.0000 MAP: 0.1904, NDCG: 0.0644, PREC: 0.0339
Epoch 10 	 TEST SET: 0.0000 MAP: 0.1909, NDCG: 0.0644, PREC: 0.0338
Epoch 11 	 TEST SET: 0.0000 MAP: 0.1913, NDCG: 0.0644, PREC: 0.0338
Epoch 12 	 TEST SET: 0.0000 MAP: 0.1910, NDCG: 0.0642, PREC: 0.0335
Epoch 13 	 TEST SET: 0.0000 MAP: 0.1906, NDCG: 0.0641, PREC: 0.0334
Epoch 14 	 TEST SET: 0.0000 MAP: 0.1912, NDCG: 0.0641, PREC: 0.0334
Epoch 15 	 TEST SET: 0.0000 MAP: 0.1916, NDCG: 0.0641, PREC: 0.0333
dataset:Amazon_App
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0323, NDCG: 0.0623, PREC: 0.1864
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0333, NDCG: 0.0640, PREC: 0.1906
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0343, NDCG: 0.0650, PREC: 0.1920
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0342, NDCG: 0.0650, PREC: 0.1926
Epoch 4 	 TEST SET: 0.0000 MAP: 0.0341, NDCG: 0.0650, PREC: 0.1925
Epoch 5 	 TEST SET: 0.0000 MAP: 0.0340, NDCG: 0.0648, PREC: 0.1923
Epoch 6 	 TEST SET: 0.0000 MAP: 0.0340, NDCG: 0.0649, PREC: 0.1931
Epoch 7 	 TEST SET: 0.0000 MAP: 0.0340, NDCG: 0.0649, PREC: 0.1927
Epoch 8 	 TEST SET: 0.0000 MAP: 0.0339, NDCG: 0.0649, PREC: 0.1932
Epoch 9 	 TEST SET: 0.0000 MAP: 0.0336, NDCG: 0.0648, PREC: 0.1938
Epoch 10 	 TEST SET: 0.0000 MAP: 0.0328, NDCG: 0.0640, PREC: 0.1922
Epoch 11 	 TEST SET: 0.0000 MAP: 0.0320, NDCG: 0.0629, PREC: 0.1906
Epoch 12 	 TEST SET: 0.0000 MAP: 0.0314, NDCG: 0.0621, PREC: 0.1891
Epoch 13 	 TEST SET: 0.0000 MAP: 0.0311, NDCG: 0.0612, PREC: 0.1857
Epoch 14 	 TEST SET: 0.0000 MAP: 0.0302, NDCG: 0.0604, PREC: 0.1852
Epoch 15 	 TEST SET: 0.0000 MAP: 0.0298, NDCG: 0.0595, PREC: 0.1822
dataset:Kindle
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0200, NDCG: 0.0449, PREC: 0.1491
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0206, NDCG: 0.0467, PREC: 0.1556
